nomDuMusee;adr;cp;ville;telephone1;region;departement;coordonneesFinales
Musée de la Résistance et de la Déportation de l'Ain;3, Montée de l'Abbaye;01130;NANTUA;0474750750;AUVERGNE-RHÔNE-ALPES;AIN;46.152378,5.608744
Musée des Manufactures de Dentelles;14, avenue de la Gare;43130;RETOURNAC;0471594163;AUVERGNE-RHÔNE-ALPES;HAUTE-LOIRE;45.202545,4.035302
Château de Saint-Germain de Livet;;14100;SAINT-GERMAIN DE LIVET;0231310003;NORMANDIE;CALVADOS;49.074299,0.191032
Musée Historique de Villèle;Domaine Panon-Desbassayns-Villèle B.P. N° 2;97435;SAINT-GILLES-LES-HAUTS;0262556410;LA REUNION;REUNION;-21.044558662,55.3221880362
Musée du Maréchal Leclerc de Hautecloque et de la Libération de Paris - Musée Jean Moulin;23, Allée de la 2ème DB;75015;PARIS;0140643944;ÎLE-DE-France;PARIS;48.840614,2.319773
Association de l'Horlogerie Aliermontaise;Ville de Saint-Nicolas d'Aliermont B.P. 13;76510;SAINT-NICOLAS-D'ALIERMONT;0235045398;NORMANDIE;SEINE-MARITIME;49.8421027228,1.24198039608
Musée Archéologique et Historique;44, Rue de Montmoreau;16000;ANGOULEME;0545949075;NOUVELLE-AQUITAINE;CHARENTE;45.647813,0.160838
Muséum d'Histoire Naturelle;35, allées Jules Guesde;31000;TOULOUSE;0567738484;OCCITANIE;HAUTE-GARONNE;43.594189,1.448945
Musée départemental d'Art Moderne;8, Bd Maréchal Joffre B.P. 60413;66403;CERET Cedex;0468873192;OCCITANIE;PYRENEES ORIENTALES;
Musée des Tisserands Mayennais;Place Billard de Veaux;53300;AMBRIERES-LES-VALLEES;0243049619;PAYS DE LA LOIRE;MAYENNE;48.403045,-0.630604
Musée du Pavillon de Vendôme;13, Rue de la Molle;13100;AIX-EN-PROVENCE;0442918875;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.531176,5.442093
Musée du Palais Lascaris;15, Rue Droite;06300;NICE;0493627240;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.697686,7.27733
Musée National de la Marine de Toulon;Place Monsenergue Quai de Norfolk;83000;TOULON;0494020201;PROVENCE-ALPES-CÔTE D'AZUR;VAR;43.1364016655,5.93275623187
Muséum d'Histoire Naturelle de Toulon et du Var;737 Chemin du Jonquet Jardin du Las;83200;TOULON;0483954420;PROVENCE-ALPES-CÔTE D'AZUR;VAR;43.15297354,5.93725605869
Atelier Musée Louis Leygue;106, Rue des Venages;41100;NAVEIL;0254772613;CENTRE-VAL DE LOIRE;LOIR ET CHER;47.794146,1.031198
Ecomusée de l'Île de Groix;Port-Tudy;56590;ILE DE GROIX;0297868460;BRETAGNE;MORBIHAN;47.639776,-3.444877
Musée Georges Garret;1, Rue des Ursulines;70000;VESOUL;0384765154;BOURGOGNE-FRANCHE-COMTE;HAUTE-SAONE;47.623525,6.155794
Musée de Givet;Mairie 11, Place Carnot;08600;GIVET;0324420684;GRAND EST;ARDENNES;50.1133571937,4.82014456381
Musée Jean de la Fontaine;12, Rue Jean de la Fontaine;02400;CHATEAU-THIERRY;0323690560;HAUTS-DE-France;AISNE;49.047062,3.400374
Musée Minéralogique de la Société Industrielle de Mulhouse;3, Avenue Alfred-Werner;68093;MULHOUSE CEDEX;0389336888;GRAND EST;HAUT-RHIN;
Musée Théodore Deck et des Pays du Florival;1, Rue du Quatre Février;68500;GUEBWILLER;0389742289;GRAND EST;HAUT-RHIN;47.905522,7.214504
Musée National de la Légion d'Honneur et des Ordres de Chevalerie;2, Rue de la Légion d'Honneur;75007;PARIS;0140628425;ÎLE-DE-France;PARIS;48.860433,2.324889
Musée de La Canne;Quartier Vatable;97229;LES TROIS ILETS;0596683204;MARTINIQUE;MARTINIQUE;14.532281,-61.027483
Muséum d'Histoire Naturelle;B.P. 4030;97254;FORT-DE-FRANCE TERRE-SAINVILLE Cedex;0596706841;MARTINIQUE;MARTINIQUE;
Musée Municipal d'Art et d'Histoire;6, place de Mas Saint Pierre;31800;SAINT-GAUDENS;0561890542;OCCITANIE;HAUTE-GARONNE;43.107629,0.725447
Musée Paul Dupuy;13, Rue de la Pléau;31000;TOULOUSE;0531229540;OCCITANIE;HAUTE-GARONNE;43.596898,1.446935
Muséum d'Histoire Naturelle;60  Boulevard Risso;06300;NICE;0497134680;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.701924,7.279572
Musée du Château Saint-Jean;Rue du Château;28400;NOGENT-LE-ROTROU;0237521802;CENTRE-VAL DE LOIRE;EURE ET LOIR;48.318045,0.823591
Musée Lalique;40 rue du Hochberg;67290;WINGEN-SUR-MODER;0388890814;GRAND EST;BAS-RHIN;48.927033,7.361922
Musée Municipal;Direction de l'action culturelle 5, Place Denis Poisson - B.P. 706;45307;PITHIVIERS Cedex;0238300064;CENTRE-VAL DE LOIRE;LOIRET;
Musée "au Fil du Papier";Hôtel de la Monnaie 13, Rue Magot de Rogéville;54700;PONT-A-MOUSSON;0383878014;GRAND EST;MEURTHE ET MOSELLE;48.908234208,6.05844193294
Ecomusée de la Montagne de Reims;Maison du Parc Chemin de Nanteuil;51160;POURCY;0326594444;GRAND EST;MARNE;49.092104642,4.00815229027
Musée Gallo-Romain de Vesunna;Parc de Vésone 20, Rue du 26ème Régiment d'Infanterie;24000;PERIGUEUX;0553530092;NOUVELLE-AQUITAINE;DORDOGNE;45.1922180776,0.71141252253
Musée Archéologique Départemental;Bâtiment de l'Ancienne Gendarmerie;31510;SAINT-BERTRAND-DE-COMMINGES;0561883179;OCCITANIE;HAUTE-GARONNE;43.035358,0.56615
Musée de la Vie Quotidienne dans les Pyrénées;Rue Hount-Blanque;65200;BAGNERES-DE-BIGORRE;0562910733;OCCITANIE;HAUTES-PYRENEES;43.065608,0.153629
Musée National Message Biblique Marc Chagall;Avenue du Docteur Menard;06000;NICE;0493538720;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.70931,7.268731
Musée Départemental des Arts et Traditions Populaires du Perche;Prieuré de Sainte-Gaubruge;61130;SAINT-CYR LA ROSIERE;0233734806;NORMANDIE;ORNE;48.324573,0.654353
Musée Cévenol;1, Rue des Calquières;30120;LE VIGAN;0467810686;OCCITANIE;GARD;43.988997,3.606934
Musée Municipal "Eburomagus Musée Archéologique";2, Avenue du Razès;11150;BRAM;0468789119;OCCITANIE;AUDE;43.243772,2.116173
Musée d'Archéologie;32, Village;09300;MONTSEGUR;0561010694;OCCITANIE;ARIEGE;42.871132,1.833173
Musée Municipal du Lac;112, Place de la Mairie;40460;SANGUINET;0558780233;NOUVELLE-AQUITAINE;LANDES;44.483699,-1.075956
Musée des Beaux-Arts;Place du Dr Pierre Esquirol;47916;AGEN Cedex 9;0553694723;NOUVELLE-AQUITAINE;LOT ET GARONNE;
Agropolis-Muséum;951, Avenue Agropolis;34394;MONTPELLIER Cedex 5;0467047500;OCCITANIE;HERAULT;
Musée d'Allard;13, Boulevard de la Préfecture;42600;MONTBRISON;0477963915;AUVERGNE-RHÔNE-ALPES;LOIRE;45.608241,4.06195
Musée du Pays de Hanau - Histoire et Vies d’un Territoire;3, Place du Château Halle aux Blés;67330;BOUXWILLER;0388003839;GRAND EST;BAS-RHIN;48.8220828424,7.43331239388
Musée de la Céramique et de l'Ivoire;7, Avenue Carcano;55200;COMMERCY;0329920477;GRAND EST;MEUSE;48.763489,5.589497
Musée de Fontenay-le-Comte;Place du 137ème Régiment d'Infanterie;85200;FONTENAY-LE-COMTE;0251534004;PAYS DE LA LOIRE;VENDEE;46.4730274645,-0.80431270427
Musée de Préhistoire Régionale et du Mégalithisme;8, Grand'Rue;34220;SAINT-PONS-DE-THOMIERES;0467972261;OCCITANIE;HERAULT;43.488771,2.758652
Musée de la Tour du Moulin;7-9, rue de la Tour;71110;MARCIGNY;0385253705;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.274545,4.043191
Cité du Train;2, rue Alfred de Glehn;68200;MULHOUSE;0389428333;GRAND EST;HAUT-RHIN;47.732511,7.311808
Musée Daniel Vannier;Hôtel de Ville - Service patrimoine 20, Rue du Change;45190;BEAUGENCY;0238446264;CENTRE-VAL DE LOIRE;LOIRET;47.8004436022,1.60034648518
Musée de la Résistance de la Déportation de l'Isère;14, rue Hébert;38000;GRENOBLE;0476423853;AUVERGNE-RHÔNE-ALPES;ISERE;45.190041,5.735245
Musée Municipal Robert Dubois-Corneau;16, Rue du Réveillon;91800;BRUNOY;0160463360;ÎLE-DE-France;ESSONNE;48.700303,2.500266
Musée Dunoyer de Segonzac;5, Place des Droits de l'Homme;91800;BOUSSY-SAINT-ANTOINE;;ÎLE-DE-France;ESSONNE;48.688925,2.530019
Musée de l'Hospice Comtesse;32, Rue de la Monnaie;59800;LILLE;0328368400;HAUTS-DE-France;NORD;50.641054,3.06294
Musée Français de la Photographie;78, Rue de Paris;91570;BIEVRES;0169351650;ÎLE-DE-France;ESSONNE;48.762826,2.225102
Galerie d’entomologie (Muséum national d'histoire naturelle);57, Rue Cuvier;75005;PARIS;;ÎLE-DE-France;PARIS;48.843835,2.355201
Musée des Monnaies et Médailles Joseph Puig;42, Avenue de Grande-Bretagne B.P. 931;66931;PERPIGNAN Cedex;0468663066;OCCITANIE;PYRENEES ORIENTALES;
Muséum d'Histoire Naturelle;Palais Longchamp;13004;MARSEILLE;0491145950;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.304295,5.394568
Fondation Louis Jou;Hôtel Jean de Brion Grand'rue Frédéric Mistral;13520;LES-BAUX-DE-PROVENCE;0490543417;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.7214018039,4.81156485939
Musée Picasso la guerre et la paix à Vallauris;Place de la Libération;06220;VALLAURIS;0493647183;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.579881,7.053064
Musée Fernand Léger;Chemin Val de Pome;06410;BIOT;0492915030;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.620844,7.112025
Musée des Arts D'Afrique et D'Asie;11, Rue Mounin;03200;VICHY;0470977640;AUVERGNE-RHÔNE-ALPES;ALLIER;46.128546,3.420555
Musée Comtois;LA CITADELLE Rue des Fusillés;25000;BESANCON;0381878316;BOURGOGNE-FRANCHE-COMTE;DOUBS;47.2552328934,6.01938051129
Musée des Vans;4, Rue du Couvent;07140;LES VANS;0475370862;AUVERGNE-RHÔNE-ALPES;ARDECHE;44.404459,4.133375
Musée Départemental de la Révolution Française;Domaine départemental de la Vizille B.P. 1753;38220;VIZILLE;0476680735;AUVERGNE-RHÔNE-ALPES;ISERE;45.0661676194,5.84675560183
Musée Sundgauvien d'Altkirch;1, Rue de l'Hôtel de Ville;68130;ALTKIRCH;0389400194;GRAND EST;HAUT-RHIN;47.623329,7.237204
Musée des Beaux-Arts;Boulevard Watteau;59300;VALENCIENNES;0327225720;HAUTS-DE-France;NORD;50.356069,3.530991
Musée-Maison Natale Pierre Corneille;4, Rue de la Pie;76000;ROUEN;0235712882;NORMANDIE;SEINE-MARITIME;49.443051,1.086748
Musée-Aquarium;Site Bella-Riva;24100;CREYSSE;0553232045;NOUVELLE-AQUITAINE;DORDOGNE;44.85459,0.564772
Musée du Pays de Luchon;18, Allée d'Etigny;31110;BAGNERES-DE-LUCHON;0561792987;OCCITANIE;HAUTE-GARONNE;42.789494,0.592035
Musée Fabre;13, rue Montpellieret;34000;MONTPELLIER;0467148300;OCCITANIE;HERAULT;43.61122,3.880192
Musée Frédéric Mistral;11, avenue Lamartine;13910;MAILLANE;0490958419;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.831079,4.782653
Musée d'Archéologie Méditerranéenne;Centre de la Charité 2, rue de la Charité;13002;MARSEILLE;0491145880;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.3127325556,5.36355601234
Musée Grobet-Labadié;140, Boulevard Longchamp;13001;MARSEILLE;0491622182;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.303412,5.392866
Musée de l'Ancienne Abbaye de Landévennec;Place Yann de Landévennec;29560;LANDEVENNEC;0298273590;BRETAGNE;FINISTERE;48.291351,-4.267455
Musée du Costume;16-18, rue Saint Christophe;58120;CHATEAU-CHINON;0386851855;BOURGOGNE-FRANCHE-COMTE;NIÈVRE;47.066701,3.933691
Museum d'Histoire Naturelle Jacques de La Comble;14, Rue Saint-Antoine;71400;AUTUN;0385520915;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.947996,4.301812
Musée Municipal d'Albertville-Conflans;Maison Rouge Grande Place de Conflans;73200;ALBERTVILLE;0479378686;AUVERGNE-RHÔNE-ALPES;SAVOIE;45.6746674789,6.36947117737
Musée des Mines de fer de Lorraine;Lieu dit Haméviller;57700;NEUFCHEF;0382857655;GRAND EST;MOSELLE;49.32395,6.0334
Musées Arts Décoratifs  Mode et du Textile;107, Rue de Rivoli;75001;PARIS;0144555750;ÎLE-DE-France;PARIS;48.863218,2.3333
Musée d'Art et d'Histoire Louis Senlecq;31, Grande Rue;95290;L'ISLE-ADAM;0174561123;ÎLE-DE-France;VAL D'OISE;49.112285,2.21638
Musée du Quai Branly - Jacques Chirac;222, rue de l'Université;75343;PARIS cedex 07;0156617000;ÎLE-DE-France;PARIS;
Musée du Poiré;La Logeraie;50720;BARENTON;0233595622;NORMANDIE;MANCHE;48.587967,-0.806027
Musée d'Elbeuf;La Fabrique des Savoirs - LA CREA 7 Cours Gambetta;76500;ELBEUF;0232963040;NORMANDIE;SEINE-MARITIME;49.3087517455,0.955689730263
Musée du Pays de Retz;6, Rue des Moines;44580;BOURGNEUF-EN-RETZ;0240214083;PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;47.042318,-1.952164
Musée des Beaux-Arts;85, rue des Arènes;39100;DOLE;0384792585;BOURGOGNE-FRANCHE-COMTE;JURA;47.089059,5.488205
Musée des Sapeurs-Pompiers de Lyon;CASC Musée 17, Rue Rabelais;69003;LYON;0472175454;AUVERGNE-RHÔNE-ALPES;RHÔNE;45.7534327031,4.86924413945
Musée du Berry;Hôtel Cujas 4, Rue des Arènes;18000;BOURGES;0248578115;CENTRE-VAL DE LOIRE;CHER;47.0747448585,2.40489595766
Musées de la Cour d'Or;2, Rue du Haut Poirier;57000;METZ;0387201320;GRAND EST;MOSELLE;49.121051,6.177978
Musée Quentovic;8, Place du Général de Gaulle;62630;ETAPLES-SUR-MER;0321940247;HAUTS-DE-France;PAS-DE-CALAIS;50.513895,1.637621
Fondation Arp;21, Rue des Châtaigniers;92140;CLAMART;0145342263;ÎLE-DE-France;HAUTS DE SEINE;48.803529,2.244319
Etablissement public de la Porte Dorée - Aquarium Tropical;Palais de la Porte Dorée 293, avenue Daumesnil;75012;PARIS;0144748480;ÎLE-DE-France;PARIS;48.8347421662,2.42053665524
Musée Municipal;Place de Samois;77250;MORET-SUR-LOING;0160703230;ÎLE-DE-France;SEINE ET MARNE;48.373441,2.814996
Musée Municipal;107, rue Grande;14290;ORBEC;0231325889;NORMANDIE;CALVADOS;49.022096,0.406804
Musée Barbey d'Aurevilly;64, Rue Bottin Desylles;50390;SAINT-SAUVEUR-LE-VICOMTE;0233416518;NORMANDIE;MANCHE;49.384547,-1.532819
Musée Municipal d'Archéologie;Service Patrimoine 44, Place Fulbert de Beina;61300;L'AIGLE;0233241240;NORMANDIE;ORNE;48.7504901636,0.660134784459
Musée Christian Dior;Villa les Rhumbs 1, Rue d'Estouteville;50400;GRANVILLE;0233614821;NORMANDIE;MANCHE;48.8338992843,-1.53304864714
Musée Basque et de l'Histoire de Bayonne;37, Quai des Corsaires;64100;BAYONNE;0559590898;NOUVELLE-AQUITAINE;PYRÉNÉES ATLANTIQUES;43.491074,-1.473873
Musée La Bourrine du Bois-Juquaud;4, Chemin du Bois Juquaud;85270;SAINT-HILAIRE-DE-RIEZ;0251492737;PAYS DE LA LOIRE;VENDEE;46.75833,-1.953063
Musée départemental de préhistoire;Route de Montmeyan;04500;QUINSON;0492740959;PROVENCE-ALPES-CÔTE D'AZUR;ALPES DE HAUTE PROVENCE;43.709853,6.040735
Musée de la Céramique;1, rue Faucon;76000;ROUEN;0235073174;NORMANDIE;SEINE-MARITIME;49.445543,1.093846
Musée de la Voiture à Cheval. Au temps des calèches;3, Place de la Citadelle;33710;BOURG-SUR-GIRONDE;0557682357;NOUVELLE-AQUITAINE;GIRONDE;45.039716,-0.560789
Musée Municipal Urbain Cabrol;Place de la Fontaine;12200;VILLEFRANCHE-DE-ROUERGUE;0565454437;OCCITANIE;AVEYRON;44.351453,2.03681
Musée Municipal;Mairie;11600;LASTOURS;0468775541;OCCITANIE;AUDE;43.333866,2.378874
Musée d'Art et d'Histoire du Puisaye;5, Rue Paul-Huillard;89130;VILLIERS-SAINT-BENOIT;0386457305;BOURGOGNE-FRANCHE-COMTE;YONNE;47.780696,3.20846
Ecomusée du Haut Beaujolais;La Manufacture - Le Jodard Marnand;69240;THIZY-LES-BOURGS;0474640648;AUVERGNE-RHÔNE-ALPES;RHÔNE;46.068199037,4.3380922269
Musée Archéologique;5, Rue du Docteur Maret CS 73310;21033;DIJON Cedex;0380488370;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;
Musées Gadagne;1, Place du Petit Collège;69005;LYON;0478420361;AUVERGNE-RHÔNE-ALPES;RHÔNE;45.763856,4.827749
Musée du Château de Suscinio;;56370;SARZEAU;0297419191;BRETAGNE;MORBIHAN;47.526753,-2.770264
Musée d'Histoire et d'Archéologie de Vannes;Château Gaillard 2, Rue Noé;56000;VANNES;0297016300;BRETAGNE;MORBIHAN;47.6598173381,-2.75698478615
Musée Bonaparte;Bibliothèque Municipale Passage Xavier Girault;21130;AUXONNE;0380374252;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;47.1834770055,5.37331909182
Musée Archéologique;Route Départementale 386;69560;SAINT-ROMAIN-EN-GAL;0474537401;AUVERGNE-RHÔNE-ALPES;RHÔNE;45.534179,4.860954
Muséum d'Histoire Naturelle Henri-Lecoq;15, rue Bardoux;63000;CLERMONT-FERRAND;0473423200;AUVERGNE-RHÔNE-ALPES;PUY DE DÔME;45.774138,3.088299
Musée de la Chartreuse;4, Cour des Chartreux;67120;MOLSHEIM;0388495938;GRAND EST;BAS-RHIN;48.54278,7.49023
Lieu d'Art et Action Contemporaine de Dunkerque - LAAC;Jardin des Sculptures Avenue de Bains;59140;DUNKERQUE;0328295600;HAUTS-DE-France;NORD;51.0306940868,2.33760634
Musée d'Art et d'Histoire du Judaïsme;Hôtel de Saint-Aignan 71, Rue du Temple;75003;PARIS;0153018653;ÎLE-DE-France;PARIS;48.8630306677,2.35966713643
Musées des Arts Décoratifs;107, Rue de Rivoli;75001;PARIS;0144555750;ÎLE-DE-France;PARIS;48.863218,2.3333
Crypte Archéologique du Parvis Notre-Dame;7, Place Jean Paul II Parvis Notre-Dame;75004;PARIS;0155425010;ÎLE-DE-France;PARIS;48.8542262543,2.35736312527
Musée du Vieux Château;Cours du Château Bricquebec;50260;BRICQUEBEC-EN-COTENTIN;0233872250;NORMANDIE;MANCHE;49.5086,-1.611653
Musée des Tumulus de Bougon;Lieu dit "La Chapelle";79800;BOUGON;0549051213;NOUVELLE-AQUITAINE;DEUX-SEVRES;46.374565,-0.067433
Musée de Préhistoire Mésolithique Laurent Coulonges;Le Bourg;47500;SAUVETERRE-LA-LEMANCE;0553407303;NOUVELLE-AQUITAINE;LOT ET GARONNE;44.597508,1.016896
Musée de l'hypogée des Dunes;101 Rue du Père-de-la-Croix;86000;POITIERS;;NOUVELLE-AQUITAINE;VIENNE;46.575749,0.359509
Musée Petiet;Promenade du Tivoli B.P. 88;11304;LIMOUX Cedex;0468318503;OCCITANIE;AUDE;
Musée Municipal de Millau;Hôtel de Pégayolles Place du Maréchal Foch;12100;MILLAU;0565590108;OCCITANIE;AVEYRON;44.0898281066,3.10621950967
Musée du Château des Ducs de Bretagne;4, Place Marc Elder;44000;NANTES;0811464644;PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;47.216353,-1.549389
Musée de la Construction Navale Artisanale;Rue de l'Ecluse Le Port;85330;NOIRMOUTIER EN L'ILE;0251392400;PAYS DE LA LOIRE;VENDEE;47.0086741668,-2.26232713424
Musée de Géologie Régionale;;36600;LANGE;0254000442;CENTRE-VAL DE LOIRE;INDRE;47.073893,1.513405
Pharmacie Musée de l'Hôtel-Dieu;Quai des Comtes-de-Champagne;10000;TROYES;0325809897;GRAND EST;AUBE;48.299944,4.076921
Musée de la Maison de la Dernière Cartouche;12 Avenue de la Dernière Cartouche;08140;BAZEILLES;0324271586;GRAND EST;ARDENNES;49.681811,4.975009
Musée des Beaux-Arts;Palais Rohan 2, Place du Château;67000;STRASBOURG;0388525000;GRAND EST;BAS-RHIN;48.5716222333,7.76768232804
Musée Tomi Ungerer;Villa Greiner 2, avenue de la Marseillaise;67000;STRASBOURG;0369063727;GRAND EST;BAS-RHIN;48.5716222333,7.76768232804
Musée d'Art Sacré de la Meuse;1, Rue du Palais de Justice;55300;SAINT-MIHIEL;0329890647;GRAND EST;MEUSE;48.88855,5.541165
Musée Municipal de Cambrai;15, Rue de l'Epée;59400;CAMBRAI;0327822790;HAUTS-DE-France;NORD;50.17347,3.229635
Musée de la Tour Abbatiale;Tour Abbatiale Grand'Place;59230;SAINT-AMAND-LES-EAUX;0327222693;HAUTS-DE-France;NORD;50.4489515034,3.43065651887
Musée Municipal;Maison Braneyre Impasse Dupeyron;33730;VILLANDRAUT;0556253141;NOUVELLE-AQUITAINE;GIRONDE;44.457128,-0.373182
Musée Hospitalier;9, Boulevard du Général Leclerc;42190;CHARLIEU;0477602884;AUVERGNE-RHÔNE-ALPES;LOIRE;46.160301,4.17052
Musée de la Vie Romantique;16, Rue Chaptal;75009;PARIS;0155319567;ÎLE-DE-France;PARIS;48.880899,2.333278
Palais Galliera - Musée de la Mode de la ville de Paris;10, Avenue Pierre 1er de Serbie;75116;PARIS;0156528600;ÎLE-DE-France;PARIS;48.8603821025,2.26201220212
Musée de l'Hôtel de Berny;36, Rue Victor Hugo;80000;AMIENS;0322971400;HAUTS-DE-France;SOMME;49.892882,2.302463
Musée Alfred Canel;84, Rue de la République;27500;PONT-AUDEMER;0232568481;NORMANDIE;EURE;49.357088,0.516022
Musée de la Fève, Crèches et Traditions Populaires;2,  Place Jean Guihard;44130;BLAIN;0240799851;PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;47.475727,-1.764575
Musée René Baubérot;1, place Saint-Thyrse;87290;CHATEAUPONSAC;0555763952;NOUVELLE-AQUITAINE;HAUTE VIENNE;46.13125,1.274322
Musée Heurteloup-Chevalier;;72500;CHATEAU-DU-LOIR;;PAYS DE LA LOIRE;SARTHE;47.682245,0.420163
Musée Granet;Place Saint-Jean de Malte;13100;AIX-EN-PROVENCE;0442528832;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.49437,5.411084
Musée Lamartine;41, Rue Sigorgne;71000;MACON;0385399038;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.305187,4.832539
Musée Zervos - Maison Romain Rolland;Maison Romain-Rolland Rue Saint-Etienne;89450;VEZELAY;0386323926;BOURGOGNE-FRANCHE-COMTE;YONNE;47.4456860508,3.76415147014
Musée Arthur Rimbaud;Quai Arthur Rimbaud;08000;CHARLEVILLE-MEZIERES;0324324464;GRAND EST;ARDENNES;49.776058,4.720484
Musée l'Herminier;Office du Tourisme 1 Centre Commercial Marina;97110;POINTE-A-PITRE;0590820930;GUADELOUPE;GUADELOUPE;16.2380667496,-61.5355740279
Musée du Noyonnais;7, Rue de l'Evêché;60400;NOYON;0344094341;HAUTS-DE-France;OISE;49.581852,2.999742
Musée d'Art et d'Histoire de Melun;5, Rue du Franc Mûrier;77008;MELUN Cedex;0164797770;ÎLE-DE-France;SEINE ET MARNE;
Musée-Promenade de Marly-Le Roi /Louveciennes;La Grille Royale - Parc de Marly;78430;LOUVECIENNES;0139690626;ÎLE-DE-France;YVELINES;48.859572,2.109482
Musée de la Mine;Rue de la Fosse Frandemiche;14330;LE MOLAY-LITTRY;0231228910;NORMANDIE;CALVADOS;49.243132,-0.877422
Musée de la vallée;Villa "La Sapinière" 10, Avenue de la Libération;04400;BARCELONNETTE;0492812715;PROVENCE-ALPES-CÔTE D'AZUR;ALPES DE HAUTE PROVENCE;44.3554624604,6.65679459978
Musée du Château;Place du Général de Gaulle;91410;DOURDAN;0164596683;ÎLE-DE-France;ESSONNE;48.529353,2.011459
Pavillon Flaubert;18, Quai Gustave Flaubert Dieppedalle-Croisset;76380;CANTELEU;0235712882;NORMANDIE;SEINE-MARITIME;49.425520648,1.00384964963
Musée du Palais des Evêques;Route de Montjoie;09190;SAINT-LIZIER;0561048186;OCCITANIE;ARIEGE;43.001518,1.14368
Musée National du Château;;64000;PAU;0559823800;NOUVELLE-AQUITAINE;PYRÉNÉES ATLANTIQUES;43.300199,-0.37085
Musée du Biterrois;Rampe du 96ème caserne Saint Jacques;34500;BEZIERS;0467368161;OCCITANIE;HERAULT;43.3428885301,3.23996566024
Musée Sarret de Grozon;Grande Rue;39600;ARBOIS;0384374790;BOURGOGNE-FRANCHE-COMTE;JURA;46.903356,5.773137
Musée d'Art Roger-Quillot;Quartier historique de Montferrand Place Louis Deteix;63100;CLERMONT-FERRAND;0473161130;AUVERGNE-RHÔNE-ALPES;PUY DE DÔME;45.7859081171,3.1155334528
Musée Girodet;2, rue de la Chaussée;45200;MONTARGIS;0238980781;CENTRE-VAL DE LOIRE;LOIRET;47.997843,2.737468
Musée Municipal;3, Rue Jean-Jacques Collenot;21140;SEMUR-EN-AUXOIS;0380972425;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;47.49017,4.336388
Musée Municipal;Place du Château;37800;SAINTE-MAURE-DE-TOURAINE;0247656620;CENTRE-VAL DE LOIRE;INDRE ET LOIRE;47.1115,0.619817
Musée de l'Homme (Muséum National d'Histoire Naturelle);Place du Trocadéro;75116;PARIS;0144057272;ÎLE-DE-France;PARIS;48.864591,2.293508
Musée de la Chalosse;Domaine de Carcher 480, Chemin du Sala B.P. 24;40380;MONTFORT-EN-CHALOSSE;0558986927;NOUVELLE-AQUITAINE;LANDES;43.7281744628,-0.847303230981
Musée Charbonneau-Lassay;Rue du Martray;86200;LOUDUN;0549980848;NOUVELLE-AQUITAINE;VIENNE;47.010039,0.075453
Musée de la Maison Romane;Place de la Maison Romane B.P. 77;30800;SAINT-GILLES-DU-GARD;0466874042;OCCITANIE;GARD;43.657925014,4.40745034656
Musée d'Archéologie;Place du Général de Gaulle Hôtel de Ville;32700;LECTOURE;0562687022;OCCITANIE;GERS;43.9633958924,0.606892628428
Musée d'Art Contemporain - Galeries Contemporaines;69, Bd d'Haïfa;13008;MARSEILLE;0491250107;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.250369,5.389348
Musée du Vieux Queyras;;05470;AIGUILLES;;PROVENCE-ALPES-CÔTE D'AZUR;HAUTES-ALPES;44.781093,6.868448
Musée Municipal Méditerranéen de Cassis A.T.P.;Rue Xavier-D'Authier;13260;CASSIS;0442018866;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.214464,5.540037
Château de la Bastie d'Urfé;;42130;SAINT-ETIENNE-LE-MOLARD;0477975468;AUVERGNE-RHÔNE-ALPES;LOIRE;45.732044,4.08786
Musée Nicéphore Niepce;28, Quai des Messageries;71100;CHALON-SUR-SAONE;0385484198;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.780045,4.855727
